ID,Nombre,Apellido,Correo,Teléfono,Fecha_Registro,Ciudad
1,Luis,Hernández,lhernandez@mail.com,5541234567,2021-03-10,Ciudad de México
2,María,Rodríguez,mrodriguez@mail.com,5512345678,2020-07-25,Guadalajara
3,José,González,jgonzalez@mail.com,5554321234,2022-01-15,Monterrey
4,Laura,Gómez,lgomez@mail.com,5587654321,2021-09-09,Tijuana
5,Andrés,Morales,amorales@mail.com,5545678910,2023-02-01,Puebla
6,Elena,Ramírez,eramirez@mail.com,5523456789,2022-06-30,León
7,Fernando,Salazar,f.salazar@mail.com,5519876543,2021-12-22,Mérida
8,Lucía,Medina,lmedina@mail.com,5543219876,2020-11-10,Cancún
9,Carlos,Torres,ctorres@mail.com,5532109876,2022-03-18,Toluca
10,Paola,Núñez,pnunez@mail.com,5521987654,2023-04-25,Querétaro
11,Ricardo,Pérez,ricardo@mail.com,5567890123,2021-01-14,Aguascalientes
12,Valeria,Silva,v.silva@mail.com,5512341234,2020-05-06,Morelia
13,Santiago,Castro,s.castro@mail.com,5578901234,2022-12-17,San Luis Potosí
14,Diana,Martínez,diana@mail.com,5598765432,2021-08-08,Hermosillo
15,Fabián,Aguilar,f.aguilar@mail.com,5519988877,2023-03-03,Culiacán
16,Jimena,Cruz,jcruz@mail.com,5533322211,2022-07-07,Veracruz
17,Héctor,Mendoza,h.mendoza@mail.com,5551122233,2021-02-02,Colima
18,Daniela,Fernández,dfernandez@mail.com,5544556677,2020-09-09,Chihuahua
19,Bruno,Sánchez,b.sanchez@mail.com,5511223344,2022-10-20,Tepic
20,Renata,Ríos,rríos@mail.com,5522001100,2021-11-15,Cuernavaca
21,Alan,Ortiz,a.ortiz@mail.com,5588990011,2023-05-20,Oaxaca
22,Sara,Luna,s.luna@mail.com,5522110099,2022-08-08,La Paz
23,Iván,Benítez,ibenitez@mail.com,5533445566,2021-03-13,Tuxla Gutiérrez
24,Gloria,Márquez,gloria@mail.com,5544667788,2020-10-31,Zacatecas
25,Ángel,Prieto,aprieto@mail.com,5512445667,2021-06-22,Durango
26,Camila,Flores,cflores@mail.com,5523557766,2022-04-11,Tampico
27,Emilio,López,elopez@mail.com,5533441122,2023-01-10,Ensenada
28,Adriana,Carrillo,acarrillo@mail.com,5544778899,2020-12-05,Irapuato
29,Leonardo,Vargas,l.vargas@mail.com,5566778899,2021-07-14,Nogales
30,Beatriz,Delgado,bdelgado@mail.com,5532113344,2023-06-01,Acapulco
